objectid,filename,youtubeid,title,format,type,language,description,date,subject,rights,rightsstatement,source_collection
kessel01,,fnoXbqadcjU,Guitar Lesson,video/mpeg,YouTube video,eng,This intermediate guitar lesson discusses Kessel's philosophy and pedagogy of how to improvise.,,Teaching; Pedagogy,In Copyright - Educational Use Permitted,http://rightsstatements.org/vocab/InC-EDU/1.0/,https://library.umkc.edu/archival-collections/kessel
kessel02,,RARniWqVsMk,Jazz Guitar Improvisation: Lesson 2 - Playing What You Know,video/mpeg,YouTube video,eng,Kessel uses his own terminology to teach interval relationships on the guitar.,,Teaching; Pedagogy,In Copyright - Educational Use Permitted,http://rightsstatements.org/vocab/InC-EDU/1.0/,https://library.umkc.edu/archival-collections/kessel
kessel03,,FFEVfRn5rMs,Progressive Concepts: Lesson 5 - How High the Blues,video/mpeg,YouTube video,eng,Kessel teaches an advanced chord progression on how to play the blues.,,Teaching; Pedagogy,In Copyright - Educational Use Permitted,http://rightsstatements.org/vocab/InC-EDU/1.0/,https://library.umkc.edu/archival-collections/kessel
kessel04,kessel-1944-muskogee.pdf,,Muskogee Souvenir Postcard,application/pdf,Postcard,eng,"A souvenir folder from Muskogee, OK, postmarked July 17, 1944 at 10:30 AM. It depicts the sights and cultural heritage of Muskogee, OK, in fifteen full-color illustrations. Sent by a Mr. Omar Fleenor on May 30th of Scott City, KS, to Mr. and Mrs. H.W. Beilfuss of Clark County, IL. Intermediate ownership undetermined.",1944,"Muskogee, OK; Biographical Information",In Copyright - Educational Use Permitted,http://rightsstatements.org/vocab/InC-EDU/1.0/,https://library.umkc.edu/archival-collections/kessel
kessel05,kessel-1963-engagements.jpg,,1963 Engagements,image/jpg,Schedule,eng,This overview of Kessel's 1963 appointments reflects his prolific performance activity in Hollywood circles. Many familiar names and studios appear in this list.,1963,Day Planners; Hollywood Years; Jazz Artist,In Copyright - Educational Use Permitted,http://rightsstatements.org/vocab/InC-EDU/1.0/,https://library.umkc.edu/archival-collections/kessel
kessel06,kessel-1971-cash-box.jpg,,Sailor On Dry Land,image/jpg,Magazine cover,eng,"A 1971 description of Kessel for Cash Box magazine by Harvey Gellar. Interestingly, it's written in second-person.",1971-04-24,Reviews and Commentary; Legacy,In Copyright - Educational Use Permitted,http://rightsstatements.org/vocab/InC-EDU/1.0/,https://library.umkc.edu/archival-collections/kessel
kessel07,kessel-1972-lonely-moments.pdf,,The Barney Kessel Personal Manuscript Series #101-106,application/pdf,Music Score,eng,"These four etudes are a part of Barney Kessel's Personal Manuscript Series. This series is a set of etudes written by Kessel. Each etude is focused on a different aspect of guitar playing. Aspects include alternate picking, position shifting, left-hand dexterity, and rhythmic patterns for pop, rock, and jazz music. Each etude also includes an explanation and tips written by Barney Kessel.",1972,Etudes; Pedagogy,In Copyright - Educational Use Permitted,http://rightsstatements.org/vocab/InC-EDU/1.0/,https://library.umkc.edu/archival-collections/kessel
kessel08,kessel-1974-basset.jpg,,Barney and the Basset,image/jpg,Photo,eng,"This photo is from apparently from a photo shoot in Sweden with photographer Robert Martin. It include Barney Kessel with his guitar, a basset hound, and a bowl of fruit.",1974,Photo Shoot; Basset Hound; Headshot,In Copyright - Educational Use Permitted,http://rightsstatements.org/vocab/InC-EDU/1.0/,https://library.umkc.edu/archival-collections/kessel
kessel09,kessel-1974-headshot.jpg,,Close up of Barney Kessel with a guitar,image/jpg,Photo,eng,"This photo was taken by William Gullette, award-winning photographer and professor who lived in California. Based on the dates of his career, this photo was likely taken in like 1970s or later.",1974,Headshot,In Copyright - Educational Use Permitted,http://rightsstatements.org/vocab/InC-EDU/1.0/,https://library.umkc.edu/archival-collections/kessel
kessel10,kessel-1976-great-guitars.jpg,,Photo from the 1976 European Tour with The Great Guitars,image/jpg,Photo,eng,"Barney Kessel, Charlie Byrd, and Herb Ellis formed The Great Guitars in 1973 and produced multiple live albums together. This photo is from their tour to Europe in 1976. Photo caption includes this note: Note that all three guitarists are playing a Barney Kessel Merson amplifier. Photo is by Ashley Summerfield from Ashley Mark Publishing Company.",1976,Jazz Artist; Legacy; Tour; Performance,In Copyright - Educational Use Permitted,http://rightsstatements.org/vocab/InC-EDU/1.0/,https://library.umkc.edu/archival-collections/kessel
kessel11,kessel-1978-guitar-journal.pdf,,Guitar Journal: Instilling Integrity,application/pdf,Magazine article,eng,"Barney Kessel writes about ""charlatanism"" in the music industr",1978,Reviews and Commentary; Pedagogy,In Copyright - Educational Use Permitted,http://rightsstatements.org/vocab/InC-EDU/1.0/,https://library.umkc.edu/archival-collections/kessel
kessel12,kessel-1979-crescendo.jpg,,Crescendo Article (April 1979),image/jpg,Magazine page,eng,"Barney Kessel tells the readers of Crescendo, the Kent-based jazz magazine that ran for 47 years from July 1962 to Autumn 2009, his thoughts on the state of popular and jazz music in 1979.",1979,Reviews and Commentary; Jazz Artist,In Copyright - Educational Use Permitted,http://rightsstatements.org/vocab/InC-EDU/1.0/,https://library.umkc.edu/archival-collections/kessel
kessel13,kessel-1988-crescendo.pdf,,Crescendo Interview (October 1988),application/pdf,Magazine article,eng,"Les Tomkins interviews Barney Kessel in 1988 for Crescendo, the Kent-based jazz magazine that ran for 47 years from July 1962 to Autumn 2009.",1988,Interview; Jazz Artist,In Copyright - Educational Use Permitted,http://rightsstatements.org/vocab/InC-EDU/1.0/,https://library.umkc.edu/archival-collections/kessel
kessel14,kessel-1990-music-studies.jpg,,A Note on Music Studies,image/jpg,Note,eng,"Barney Kessel frequently wrote short ideas down in his notebook. Often they were related to his goals or ideas for songs or books, but sometimes they were simply memories or thoughts he had. This statement shows his ideas on music and his pedagogy.",1990-04-12,Pedagogy,In Copyright - Educational Use Permitted,http://rightsstatements.org/vocab/InC-EDU/1.0/,https://library.umkc.edu/archival-collections/kessel
kessel15,kessel-1992-interview.pdf,,Interview by Ian MacGregor,application/pdf,Interview,eng,"An interview from February 1992 while Kessel was visiting Perth, Australia. He speaks at length regarding his introduction to the guitar and his early career.",1992-02-10,Legacy; Interview,In Copyright - Educational Use Permitted,http://rightsstatements.org/vocab/InC-EDU/1.0/,https://library.umkc.edu/archival-collections/kessel
kessel16,kessel-newcastle.pdf,,Barney Kessel in Newcastle,application/pdf,Workshop outline,ger,"This is an outline of an improvisation workshop that Barney gave in Newcastle-upon-Tyne. For some reason, this pamphlet from Maurice Summerfield's contribution to the collection is printed in German.",,Workshop; Pedagogy,In Copyright - Educational Use Permitted,http://rightsstatements.org/vocab/InC-EDU/1.0/,https://library.umkc.edu/archival-collections/kessel